         4931400 function calls (4927001 primitive calls) in 23.957 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.010    0.001 pkg_resources.py:2879(<lambda>)
       10    0.000    0.000    0.010    0.001 pkg_resources.py:2399(activate)
     1434    0.010    0.000    0.010    0.000 baseplatform.py:356(__init__)
        1    0.003    0.003    0.010    0.010 ctypeslib.py:51(<module>)
       59    0.001    0.000    0.010    0.000 baseplatform.py:379(load)
        1    0.000    0.000    0.010    0.010 hermite.py:59(<module>)
      165    0.002    0.000    0.010    0.000 wrapper.py:651(wrapperCall)
      900    0.004    0.000    0.009    0.000 main.py:47(__init__)
        6    0.000    0.000    0.009    0.002 string.py:113(substitute)
       44    0.008    0.000    0.009    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.009    0.009 legendre.py:83(<module>)
      306    0.000    0.000    0.009    0.000 GL_1_0.py:12(_f)
        2    0.000    0.000    0.009    0.004 GUI.py:679(bindTexture)
     1078    0.004    0.000    0.009    0.000 wrapper.py:287(setCConverter)
        1    0.000    0.000    0.009    0.009 chebyshev.py:87(<module>)
        1    0.001    0.001    0.008    0.008 polynomial.py:4(<module>)
        1    0.000    0.000    0.008    0.008 GUI.py:184(__init__)
        5    0.000    0.000    0.008    0.002 GUI.py:166(__init__)
        1    0.006    0.006    0.008    0.008 shutil.py:5(<module>)
        1    0.001    0.001    0.008    0.008 polynomial.py:55(<module>)
        1    0.000    0.000    0.008    0.008 parse.py:28(<module>)
      431    0.001    0.000    0.007    0.000 shaders.py:35(_alt)
        1    0.000    0.000    0.007    0.007 vertex_program.py:1(<module>)
        1    0.002    0.002    0.007    0.007 __init__.py:44(<module>)
        1    0.004    0.004    0.007    0.007 case.py:1(<module>)
       16    0.007    0.000    0.007    0.000 {built-in method find_module}
        1    0.002    0.002    0.007    0.007 GL_3_1.py:9(<module>)
       48    0.002    0.000    0.007    0.000 images.py:514(setImageInput)
       15    0.000    0.000    0.007    0.000 pkg_resources.py:1936(_handle_ns)
        6    0.000    0.000    0.006    0.001 collections.py:297(namedtuple)
       88    0.000    0.000    0.006    0.000 baseplatform.py:192(createBaseFunction)
     3800    0.006    0.000    0.006    0.000 wrapper.py:98(__setattr__)
       14    0.000    0.000    0.006    0.000 pkgutil.py:173(find_module)
       16    0.000    0.000    0.006    0.000 pkg_resources.py:460(add_entry)
      273    0.001    0.000    0.006    0.000 function_base.py:2945(add_newdoc)
        1    0.002    0.002    0.006    0.006 index_tricks.py:1(<module>)
